96197;Microsoft Windows TCP/IP Stack Crafted ICMPv6 Packet Handling Remote DoS
96195;Microsoft Windows NAT Driver Crafted ICMP Packet Handling Remote Memory Corruption DoS
96194;Microsoft Windows Asynchronous RPC Request Handling Remote Code Execution
96193;Microsoft Windows Unicode Scripts Processor (USP10.DLL) Uniscribe Font Parsing Engine Unspecified Memory Corruption
96192;Microsoft IE EUC-JP Character Encoding XSS
96191;Microsoft IE Process Integrity Level Assignment Bypass
96190;Microsoft IE Unspecified Memory Corruption (2013-3199)
96189;Microsoft IE Unspecified Memory Corruption (2013-3194)
96188;Microsoft IE Unspecified Memory Corruption (2013-3193)
96187;Microsoft IE Unspecified Memory Corruption (2013-3191)
96186;Microsoft IE Unspecified Memory Corruption (2013-3190)
96185;Microsoft IE Unspecified Memory Corruption (2013-3189)
96184;Microsoft IE Unspecified Memory Corruption (2013-3188)
96183;Microsoft IE Unspecified Memory Corruption (2013-3187)
96182;Microsoft IE Unspecified Memory Corruption (2013-3184)
96181;Microsoft Active Directory Federation Services (AD FS) Open Endpoint Unspecified Account Information Disclosure
96180;Microsoft Windows Kernel Address Value Handling Unspecified Local Memory Corruption (2013-3196)
96179;Microsoft Windows Kernel Address Value Handling Unspecified Local Memory Corruption (2013-3197)
96178;Microsoft Windows Kernel Address Value Handling Unspecified Local Memory Corruption (2013-3198)
96177;Gentoo Linux /etc/nullmailer/remotes Permission Weakness Local SMTP Authentication Credential Disclosure
96176;libvirt libvirtd xenDaemonListDefinedDomains Function Memory Corruption
96175;Cisco IOS XR Outbound ICMP Echo Saturation Local DoS
96174;Bitcoin on Android RNG Weakness Unspecified Wallet Compromise
96173;CloudLinux CageFS Unspecified Arbitrary File Content Local Disclosure
96172;Dovecot POP3 Service Terminated LIST Command Remote DoS
96171;ReviewBoard Review Request Attachment Arbitrary PHP Code Execution
96170;ReviewBoard Submitter List User Name Field XSS
96169;ReviewBoard User Name Auto-complete XSS
96168;Opal /items/set_list_type redirect_to Parameter Arbitrary Site Redirect
96167;SecPanel Unspecified User Plaintext Local Password Disclosure
96166;cPanel WHM Suspend Function Arbitrary Account Lockout Local DoS
96165;cPanel WHM Purchase and Install an SSL Certificate Feature Arbitrary File Overwrite
96164;cPanel WHM Unspecified Arbitrary Domain Manipulation
96163;cPanel WHM Unspecified Arbitrary DNS Zone Modification
96162;OpenStack Cinder LVM Volume Driver clear_volume Method Snapshot Deletion Failure Information Disclosure
96161;National Instruments Installers Unspecified ActiveX Issue
96160;National Instruments Multiple Products 3D Graph ActiveX Control (cw3dgrph.ocx) ExportStyle Method Arbitrary File Execution
96159;National Instruments Multiple Products NI Help Links HelpAsst Component ActiveX Unspecified Issue
96158;FreeBSD ftpd GLOB_LIMIT Crafted Command Pattern Remote DoS
96157;National Instruments LabVIEW Datalogging and Supervisory Control (DSC) Module tagsrv.exe Local Privilege Escalation
96156;National Instruments LabVIEW Real-Time Module Unspecified Floating-point Issue
96155;Clearwire Modem With Wi-Fi Default Admin Credentials
96154;National Instruments LabVIEW Application Web Server Permission Management Local Privilege Escalation
96153;Cisco Linksys WRT54GL Wireless Router SSL/TLS Renegotiation Unspecified Issue
96152;Cisco Linksys WRT610N Simultaneous Dual-N Band Wireless Router DNS Unspecified Issue
96151;Cisco Linksys WRT610N Simultaneous Dual-N Band Wireless Router Unspecified Issues
96150;Cisco Linksys WRT54GS Wireless-G BroadBand Router UPnP Unspecified Issue
96149;Google Chrome WebVTTParser::createDocumentFragmentFromCueText Function Empty Text Handling DoS
96148;Google Chrome DocumentStyleSheetCollection Functions Node Handling Unspecified Impact
96147;Schneider Electric Trio J-Series License Free Ethernet Radio Unspecified AES Encryption Key Generation Issue
96146;IBM Informix Open Admin Tool (OAT) Unspecified XSS
96145;Google Chrome SliderThumbElement::setPositionFromPoint Function Unspecified Issue
96144;Symfony Validator Component Multiple Field Handling Input Validation Bypass
96143;Symfony Component/HttpFoundation/Request.php Request::getHost() Function HOST HTTP Header Handling Spoofing Weakness
96142;Pluck CMS Script Code Insertion CSRF
96141;EchoVNC Viewer Crafted Request Large Size Value Handling Allocation Failure DoS Weakness
96140;RiteCMS Admin Password Manipulation CSRF
96139;RiteCMS index.php mode Parameter XSS
96138;StarUML ActiveX (WinGraphviz.dll) Buffer Overflow
96137;IBM Multiple Product Intelligent Platform Management Interface (IPMI) User Account Default Password
96136;IBM Multiple Product Intelligent Platform Management Interface (IPMI) RAKP Protocol Support Password Hash Remote Disclosure
96135;IBM Multiple Product Intelligent Platform Management Interface (IPMI) Plaintext Password Local Disclosure
96134;libmodplug src/load_abc.cpp abc_MIDI_drum() Function ABC File Handling Buffer Overflow
96133;libmodplug src/load_abc.cpp abc_set_parts() Function ABC File Handling Integer Overflow
96132;Huawei Tecal RH2285 V2 Web Interface Unspecified Authentication Bypass
96131;Google Chrome editing/SpellChecker.cpp Spell Checking Cut-Paste Use-after-free Issue
96130;Linux Kernel arch/arm64/kernel/entry.S el0_sync_compat Handler Trap/ESR Generation Local DoS
96129;National Instruments NI .NET Class Library Help ActiveX (NationalInstruments.Help2.dll) Unspecified Issue
96128;National Instruments Lookout lookout650.ocx ActiveX Unspecified Issue
96127;National Instruments LabWindows/CVI Help Subsystem ActiveX Unspecified Issue
96126;Google Chrome Synchronous Cross-origin Fragment Navigation Information Disclosure Weakness
96125;FFmpeg / Libav libavcodec/qdm2.c synthfilt_build_sb_samples Function Codeword Handling Out-of-array Read Issue
96124;FFmpeg libavcodec/rv10.c Frame Skip Handling Division-by-zero DoS
96123;FFmpeg / Libav libavcodec/mss2dsp.c upsample_plane_c Function 0x0 Handling Out-of-array Access Unspecified Issue
96122;FFmpeg / Libav libavcodec/shorten.c read_header Function Invalid Channel Count Handling Out-of-array Access Issue
96121;FFmpeg / Libav libavcodec/vc1dec.c vc1_decode_init Function Odd-sized Sprites Handling Out-of-array Read Issue
96120;FFmpeg / Libav libavformat/asfdec.c get_tag Function Type 2-5 Value Truncation Unspecified Issue
96119;TRENDnet TV-IP410WN IP Cameras Undocumented Backdoor Password
96118;Google Web Toolkit (GWT) loadSelectionScript Method moduleName XSS
96117;Siemens COMOS Client Application Unspecified Project Access Local Privilege Escalation
96116;Cisco Finesse Insecure HTTP Query Transmissions User Data Disclosure
96115;Cisco Finesse Direct Request Directory Disclosure
96114;Open Real Estate CMS apartments/backend/main/view Direct Request Path Disclosure
96113;Open Real Estate CMS apartments/backend/main/view id Parameter SQL Injection
96112;Open Real Estate CMS Profile Email Address Manipulation CSRF
96111;HMS Testimonials Plugin for WordPress hms-testimonials-templates-new name Parameter XSS
96110;HMS Testimonials Plugin for WordPress hms-testimonials-settings-fields name Parameter XSS
96109;HMS Testimonials Plugin for WordPress hms-testimonials-settings date_format Parameter XSS
96108;HMS Testimonials Plugin for WordPress hms-testimonials-addnew Multiple Parameter XSS
96107;HMS Testimonials Plugin for WordPress Multiple Function CSRF
96106;MLM Auction gallery.php id Parameter SQL Injection
96105;OpenStack Compute (Nova) XML External Entity (XXE) Request Handling Resource Consumption Remote DoS
96104;OpenStack Cinder XML External Entity (XXE) Request Handling Resource Consumption Remote DoS
96103;WiMAX Multiple Module L5 Connection Payload Data Unit (PDU) Handling Multiple Remote Integer Overflows
96102;WiMAX Supplicant Agent Private Key Management Local Information Disclosure
96101;WiMAX OSAL Crypt Module Plaintext Password Logging Local Information Disclosure
96100;WiMAX Trace Module Insecure Permissions Local Log File Manipulation
96099;eZ Publish Object Relation Handling Object Disclosure
96098;eZ Publish Content Treemenu Multiple Field XSS
96097;eZ Publish Admin Design Multiple Field XSS
96096;eZ Publish Error Caching Weakness Resource Consumption Remote DoS
96095;eZ Publish user/login Unspecified XSS
96094;eZ Publish user/login Unspecified Arbitrary Site Redirect
96093;eZ Publish BrowserView ViewMode Parameter XSS
96092;eZ Publish content/versionview Module Unspecified XSS
96091;Monster Menus Module for Drupal Page Settings Titles XSS
96090;Schweitzer Engineering Laboratories (SEL) Multiple Real-Time Automation Controllers (RTAC) Products Unspecified Infinite Loop Remote DoS
96089;Schweitzer Engineering Laboratories (SEL) Multiple Real-Time Automation Controllers (RTAC) Products Unspecified Infinite Loop Local DoS
96088;Booking Calendar Plugin for WordPress Booking Manipulation CSRF
96087;OpenStack Swift Request X-Timestamp Value Handling Object Tombstone Saturation Resource Consumption Remote DoS
96086;Nagios html/rss-newsfeed.php Insecure Temporary File Symlink Arbitrary File Overwrite
96085;Nagios IPXPING_COMMAND Symlink Local Command Execution
96084;NTT DoCoMo overseas usage application for Android Wi-Fi AP Connection Remote Information Disclosure
96083;Lenovo ThinkPad QCtray.exe Path Subversion Arbitrary DLL Injection Code Execution
96082;Atlassian Confluence /dashboard/doconfigurerssfeed.action Multiple Parameter XSS
96081;PuTTY Sensitive Information Persistance Weakness
96080;PuTTY DSA Signature Verification Modular Inverse Calculation Buffer Overflow
96079;Restlet XMLDecoder XML File Deserialization Handling Arbitrary Code Execution
96078;Apache CloudStack Infrastructure Menu Setup Network Multiple Field XSS
96077;Apache CloudStack Global Settings Multiple Field XSS
96076;Apache CloudStack Instances Menu Display Name Field XSS
96075;Apache CloudStack Instances Menu Add Instances Network Name Field XSS
96074;Apache CloudStack Instances Menu Add Instances Review Step Multiple Field XSS
96073;OpenX Source Trojaned Distribution
96072;Cacti Unspecified SQL Injection
96071;Cacti Unspecified Remote Command Execution
96070;Atlassian JIRA /src/main/webapp/secure/admin/user/views/deleteuserconfirm.jsp name Parameter XSS
96069;Linux Kernel /kernel/user_namespace.c User Namespace Handling Local DoS
96068;Little CMS Color Engine (lcms) Multiple Function Unspecified Buffer Overflows
96067;McAfee Superscan Crafted Response Scan Report XSS
96066;Oracle Java JDK Java Debugging Wire Protocol (JDWP) Remote Command Execution
96065;Chrony Command Request/Reply Handling Item Count Buffer Overflow Remote DoS
96064;Chrony SUBNETS_ACCESSED / CLIENT_ACCESSES Command Replies Uninitialized Data Information Disclosure
96063;Organic Groups Module for Drupal Visibility Field Handling Node Exposure
96062;Organic Groups Module for Drupal Private Group Node ID Subscription Weakness
96061;Monster Menus Module for Drupal mm_webform submodule Unauthorized Webform Submission Deletion
96060;Authenticated User Page Caching (Authcache) Module for Drupal Superuser Cached Page Disclosure
96059;NetworkMiner Path Subversion Arbitrary DLL Injection Code Execution
96058;NetworkMiner PCAP File Parsing Directory Traversal Arbitrary File Creation
96057;RESTful Web Services Module for Drupal Write Operation Access Restriction Bypass
96056;Persona Module for Drupal CSRF Protection Bypass
96055;FFmpeg / Libav libavcodec/vc1dec.c Multiple Functions Missing Referenced Frame Handling Unspecified Issue
96054;Huawei B153 3G/UMTS Router WPS Protocol External Registrar PIN-base Method Brute Force Authentication Bypass Weakness
96053;Timeline Plugin for SocialEngine User Profile Upload Cover File Upload Arbitrary Code Execution
96052;Trusteer Rapport RapportGP.dll Module IsApiPatched Subroutine Memory Manipulation Protection Bypass
96051;Nmap Http-domino-enum-passwords NSE Script Crafted Response Arbitrary File Write
96050;MiCasaVerde VeraLite HomeAutomationGateway Device/Service RunLua Action Arbitrary Lua Code Execution
96049;MiCasaVerde VeraLite proxy.sh url Parameter Arbitrary Site Redirect Weakness
96048;MiCasaVerde VeraLite Multiple Admin Function CSRF
96047;MiCasaVerde VeraLite Multiple Function Privilege Escalation
96046;MiCasaVerde VeraLite get_file.sh filename Parameter Traversal Arbitrary File Access
96045;Radio Thermostat CT50 / CT80 Unauthenticated API Access Remote Command Execution
96043;Transport Layer Security (TLS) Plaintext Injection Ciphertext Size Evaluation Information Disclosure (BREACH)
96042;WebKit FormAssociatedElement::formAttributeChanged Function Out-of-tree FormAttributeTargetObserver Creation DoS
96041;OpenStack Compute (Nova) Network Source Security Group Policy Update Handling Remote DoS
96040;WebKit CSSParser::parseValue Function String Text-align Support DoS
96039;ownCloud user_webdavauth Unspecified Authentication Bypass
96038;ownCloud Share Interface Unspecified XSS
96037;OpenStack Compute (Nova) Private Flavor Handling Access Restriction Bypass
96036;National Instruments Multiple Products cwui.ocx ExportStyle Method Arbitrary File Execution
96035;SilverStripe MemberLoginForm Cleartext Authentication Credential Disclosure
96034;National Instruments Lookout lookout670.ocx ActiveX Unspecified Issue
96033;TRENDnet TV-IP410WN mjpg.cgi Video Feed Manipulation Weakness
96032;TRENDnet TV-IP410WN Network Camera Default Credentials
96031;Apache HTTP Server suEXEC Symlink Arbitrary File Access
96030;Trustport Webfilter help.php hf Parameter Traversal Arbitrary File Access
96029;Cisco TelePresence Web Server Password Recovery Administrator Account Default Credentials
96028;PHPFox /user/browse/view_/ Multiple Parameter SQL Injection
96027;Xhanch - My Twitter Plugin for WordPress Setting Manipulation CSRF
96026;Jomres Component for Joomla! administrator/index.php id Parameter SQL Injection
96025;Jomres Component for Joomla! Property Detail Editing property_name Parameter XSS
96024;Mozilla Firefox Stub / Full Installers DLL File Handling Arbitrary Code Execution
96023;Mozilla Multiple Product Web Workers XMLHttpRequest Call Handling Same Origin Policy Bypass XSS Weakness
96022;Mozilla Multiple Product Unspecified JavaScript Components URI Validation Same Origin Policy Bypass XSS Weakness
96021;Mozilla Multiple Product updater.exe DLL File Handling Local Privilege Escalation
96020;Mozilla Multiple Product XBL Scope Handling XrayWrappers Bypass XSS Weakness
96019;Mozilla Multiple Product crypto.generateCRMFRequest Function Certificate Request Message Format (CRMF) Request Generation Arbitrary Code Execution
96018;Mozilla Multiple Product Frame / Browser History Interaction Handling XSS Weakness
96017;Mozilla Multiple Product nsCString::CharAt Function WAV File Handling DoS
96016;Mozilla Multiple Product Updater Command Line Pathname Handling Local Stack Buffer Overflow
96015;Mozilla Multiple Product maintenanceservice.exe Command Line Pathname Handling Local Stack Buffer Overflow
96014;Mozilla Multiple Product cryptojs_interpret_key_gen_type Function Certificate Request Message Format (CRMF) Request Handling Use-after-free Heap Buffer Overflow
96013;Mozilla Multiple Product nsINode::GetParentNode Function Document Object Model Modification SetBody Mutation Event Handling Heap Use-after-free Arbitrary Code Execution
96012;Mozilla Multiple Product Multiple Unspecified Memory Corruption (2013-1702)
96011;Mozilla Multiple Product Multiple Unspecified Memory Corruption (2013-1701)
96010;Mozilla Multiple Product Java Applet file:/// URI codebase Parameter Arbitrary File Access
96009;BigTree CMS /admin/users/create/ Arbitrary Admin Account Creation CSRF
96008;BigTree CMS /admin/developer/modules/views/add/ module Parameter XSS
96007;BigTree CMS index.php URI SQL Injection
96006;Hikvision Multiple IP Camera RTSP Transaction Range Parameter Remote Overflow
96005;Hikvision Multiple IP Camera /PSIA/System/ConfigurationData Remote Admin Password Disclosure
96004;Hikvision Multiple IP Camera Anonymous Account Default Hardcoded Credentials
96003;Atlassian Confluence OGNL Expression Handling Double Evaluation Error Remote Code Execution
96002;Vodafone EasyBox Predictable Default WPS-PIN Generation
96001;JSE Event Component for Joomla! tmpl/tootip.php info Parameter XSS
96000;Usernoise Plugin for WordPress Feedback Submission summary Field XSS
95999;phpMyAdmin Unspecified Clickjacking Weakness
95998;Joomla! /libraries/idna_convert/example.php lang Parameter XSS
95997;SectionEx Component (com_sectionex) for Joomla! index.php Multiple Parameter SQL Injection
95996;Karotz autorunwifi Python Path Subversion Local Privilege Escalation
95995;Karotz Session Token Remote Disclosure
95994;Arcavias Extension for TYPO3 Unspecified XSS
95993;IBM iNotes DWA9W ActiveX Unspecified Integer Overflow
95992;Squash /app/controllers/api/v1_controller.rb Multiple Function YAML Payload Handling Remote Code Execution
95991;FTP OnConnect for iOS index.html dir Parameter XSS
95990;FFmpeg / Libav libavcodec/bink.c read_dct_coeffs Function Quantization Matrix Handling Unspecified Issue
95989;FFmpeg / Libav libavcodec/vc1dec.c vc1_decode_frame Function Invalid mb_height Handling Unspecified Issue
95988;Moxa Multiple OnCell Gateway Products Predictable SSH / SSL Connection Key Generation
95987;FTP OnConnect for iOS upload.html Multiple File Extension Upload Arbitrary Code Execution
95986;FTP OnConnect for iOS index.html filename Parameter Traversal Local File Inclusion
95985;withU Music Share for iOS Device Name Local Command Execution
95984;Chat Plugin for WordPress message Parameter XSS
95983;TEC-IT TBarCode OCX ActiveX (TBarCode4.ocx) ConvertToStreamEx() Method DoS
95982;SEO SERP Workbench for Chrome Multiple Field XSS
95981;IBM iNotes MIME Mail Unspecified XSS (2013-3990)
95980;IBM iNotes MIME Mail Unspecified XSS (2013-3032)
95979;FFmpeg / Libav libavformat/omadec.c oma_read_packet Function Incomplete Crypted File Handling Out-of-bounds Read Issue
95978;FFmpeg / Libav libavformat/omadec.c Corrupted Tag Handling Out-of-bounds Read Issue
95977;FFmpeg / Libav libavcodec/aasc.c aasc_decode_frame Function Out-of-bounds Read Issues
95976;FFmpeg / Libav libavcodec/xl.c decode_frame Function Small Packet Size Checking Unspecified Issue
95975;FFmpeg / Libav libavcodec/8bps.c decode_frame Function Input Buffer Missing Bounds Checking Unspecified Issue
95974;FFmpeg / Libav libavcodec/4xm.c decode_frame Function Invalid Dimensions Handling Unspecified Issue
95973;FFmpeg / Libav libavcodec/alsdec.c read_channel_data Function Clipping Range Handling Unspecified Issue
95972;setuptools easy_install PyPI Repository MiTM Server Spoofing Weakness
95971;pyshop PyPI Repository MiTM Server Spoofing Weakness
95970;PuTTY sshrsa.c / sshdss.c getstring() Function SSH Handshake Message Length Handling Multiple Remote Integer Overflows
95969;Samba smbd nttrans.c read_nttrans_ea_list Function Malformed Packet Handling Remote DoS
95968;Formhandler (Formhandler) Extension for TYPO3 Unspecified Arbitrary Code Execution
95967;Store Locator (locator) Extension for TYPO3 unserialize() Call Remote PHP Code Execution
95966;Front End User Registration (sr_feuser_register) Extension for TYPO3 Unspecified XSS
95965;Formhandler (Formhandler) Extension for TYPO3 Unspecified SQL Injection
95964;Formhandler (Formhandler) Extension for TYPO3 Unspecified Authentication Bypass
95963;Browser - TYPO3 without PHP (browser) Extension for TYPO3 Unspecified SQL Injection
95962;Store Locator (locator) Extension for TYPO3 Unspecified SQL Injection
95961;Store Locator (locator) Extension for TYPO3 Unspecified XSS
95960;Faceted Search (ke_search) Extension for TYPO3 Unspecified XSS
95959;Faceted Search (ke_search) Extension for TYPO3 Unspecified SQL Injection
95958;RealURL Management (realurlmanagement) Extension for TYPO3 Unspecified XSS
95957;DB Integration (wfqbe) Extension for TYPO3 Unspecified SQL Injection
95956;Cisco Unified Communications Manager (CUCM) Request Submission CSRF
95955;Cisco Unified Communications Manager (CUCM) Call Dialing CSRF
95954;Cisco Unified Communications Manager (CUCM) Remote Exception Stack Trace Detail Information Disclosure
95953;D-Link DIR-645 bsc_sms_send.php receiver Parameter XSS
95952;D-Link DIR-645 /parentalcontrols/bind.php deviceid Parameter XSS
95951;D-Link DIR-645 authentication.cgi password Parameter Remote Buffer Overflow
95950;D-Link DIR-645 hedwig.cgi Cookie Value Handling Remote Buffer Overflow
95949;D-Link DIR-645 post_login.xml hash Parameter Remote Stack Buffer Overflow
95948;rgpg Gem for Ruby lib/rgpg/gpg_helper.rb Remote Command Execution
95947;Telmanik CMS Press pages.php page_name Parameter SQL Injection
95946;FunGamez /admin/modules/game.php File Upload Arbitrary Code Execution
95945;IBM InfoSphere BigInsights Cross-domain Frame Injection Content Spoofing
95944;IBM InfoSphere BigInsights Unspecified XSS
95943;IBM InfoSphere BigInsights Unspecified CSRF
95942;Symantec Backup Exec Beutility Console Unspecified XSS
95941;Symantec Backup Exec Management Console Multiple Unspecified XSS
95940;Symantec Backup Exec NMDP Protocol Host Version Disclosure
95939;Symantec Backup Exec Insecure Backup / Restore File Creation File Manipulation
95938;Symantec Backup Exec Linux Agent Backup Utility Program Remote Heap Buffer Overflow
95937;Cisco PVC2300 / WVC2300 oamp/oamp.cgi loadFirmware Action Remote Command Injection Weakness
95936;Cisco PVC2300 / WVC2300 oamp/oamp.cgi login Action Default Credentials
95935;Cisco Linksys WVC80N / WVC54GCA img/snapshot.cgi Query String Handling Remote Buffer Overflow
95934;IOServer Master Station / DNP3 Driver Crafted Packet Handling Infinite Loop Remote DoS
95933;Joomla! /administrator/components/com_media/helpers/media.php File Upload Arbitrary Code Execution
95932;IQinVision IQ832N oidtable.cgi grep Parameter Handling Remote Command Injection
95931;IQinVision IQ832N Default Unauthenticated Video Feed Viewing Weakness
95930;BulletProof Security Plugin for WordPress /wp-content/plugins/bulletproof-security/403.php Multiple HTTP Header XSS
95929;BulletProof Security Plugin for WordPress /wp-content/plugins/bulletproof-security/400.php Multiple HTTP Header XSS
95928;BulletProof Security Plugin for WordPress /wp-content/plugins/bulletproof-security/404.php Multiple HTTP Header XSS
95927;INSTEON Hub 2242-222 Unauthenticated Remote Command Execution
95926;3S Vision N5071 records.cgi remove Action filename Parameter Remote Command Injection Weakness
95925;TRENDnet TV-IP410WN ptcmd.cgi cmd Parameter Remote Command Injection Weakness
95924;Symantec PGP Desktop RDDService Unquoted Search Path Local Privilege Escalation
95923;My Satis Application for Android Hardcoded Bluetooth PIN
95922;Schneider Electric Multiple Product XML External Entity (XXE) Request Handling Arbitrary File Disclosure
95921;ISPmanager Unspecified Race Condition Remote Code Execution
95920;ISPmanager Multiple Unspecified Issues
95919;RuggedCom Rugged Operating System on LinuX (ROX) Ignored Password Characters Weakness
95918;phpFreeChat /debug Command Unspecified Issue
95917;TRENDnet TV-IP410WN unittest.cgi action Parameter Remote Command Injection Weakness
95916;Debian Linux udev Raid Devices Group Permission Weakness Local Privilege Escalation
95915;Mozilla Multiple Products nsIFrame::GetNextSibling Deleted Memory Handling DoS
95914;Mozilla Multiple Products ntdll.dll nsLineBox::RemovePlaceholderDescendantsOf Function DoS
95913;Mozilla Multiple Products IncrementalReflow::AddCommand Popup Handling DoS
95912;Mozilla Multiple Products nsFrameManager::ReResolveStyleContext Unspecified DoS
95911;Mozilla Multiple Products nsCSSFrameConstructor.cpp nsTableCellFrame::AppendFrames Function DoS
95910;D-Link DIR-645 info.php RESULT Parameter XSS
95909;Open Shortest Path First (OSPF) Routing Protocol Link State Advertisement (LSA) Database Crafted OSPF Packet Handling Remote Issue
95908;SexyBookmarks Plugin for WordPress Setting Manipulation CSRF
95907;HP Multiple LaserJet Pro Products Unspecified Remote Information Disclosure
95906;Open-Xchange (OX) AppSuite IMAP Server Auto-discovery Handling Remote Credential Disclosure
95905;TYPO3 File Upload Component / File Abstraction Layer PHP File Upload Arbitrary Code Execution
95904;strongSwan libstrongswan/asn1/asn1.c is_asn1() Function Crafted Request Handling Remote DoS
95903;vTiger CRM validateSession() Function sessionid Parameter Authentication Bypass
95902;vTiger CRM vtigerolservice.php AddEmailAttachment Method Multiple Parameter Arbitrary File Overwrite
95901;vTiger CRM /soap/vtigerolservice.php SearchContactsByEmail Method emailaddress Parameter SQL Injection
95900;vTiger CRM /soap/thunderbirdplugin.php SearchContactsByEmail Method emailaddress Parameter SQL Injection
95899;vTiger CRM /soap/customerportal.php Multiple Method Multiple Parameter SQL Injection
95898;vTiger CRM /soap/customerportal.php Multiple Method module Parameter Local File Inclusion
95897;phpFreeChat demo2_simple_with_params.php URI XSS
