104575;GNU libiberty CVE-2018-12938 Denial of Service Vulenerability
104574;Apple SwiftNIO CVE-2018-4281 Buffer Overflow Vulnerability
104573;IBM Rational DOORS CVE-2018-1457 Unspecified Security Vulnerability
104572;Xen CVE-2018-12893 Local Denial of Service Vulnerability
104571;Xen CVE-2018-12892 Local Security Bypass Vulnerability
104570;Xen CVE-2018-12891 Local Denial of Service Vulnerability
104569;WordPress CVE-2018-12895 Directory Traversal Vulnerability
104568;MyBB CVE-2018-1000503 Information Disclosure Vulnerability
104567;Dell EMC iDRAC Service Module CVE-2018-11053 Insecure File Permissions Vulnerability
104566;Joomla! Core CVE-2018-12712 Local File Include Vulnerability
104565;Joomla! Core CVE-2018-12711 Cross Site Scripting Vulnerabilitiy
104564;McAfee Web Gateway CVE-2018-6667 Authentication Bypass Vulnerability
104563;Multiple Microsoft Products DLL Loading Multiple Remote Code Execution Vulnerabilities
104562;Mozilla Firefox MFSA2018-15 Multiple Security Bypass Vulnerabilities
104561;Mozilla Firefox and Firefox ESR Multiple Security Vulnerabilities
104560;Mozilla Firefox and Firefox ESR Multiple Security Vulnerabilities
104559;Google Chrome OS Local Privilege Escalation Vulnerability
104558;Mozilla Firefox and Firefox ESR CVE-2018-12361 Integer Overflow Vulnerability
104557;Mozilla Firefox CVE-2018-5186 Multiple Unspecified Memory Corruption Vulnerabilities
104556;Mozilla Firefox and Firefox ESR Multiple Unspecified Memory Corruption Vulnerabilities
104555;Mozilla Firefox and Firefox ESR Multiple Security Vulnerabilities
104554;Apache HBase CVE-2018-8025 Security Bypass Vulnerability
104553;Redis CVE-2018-11218 Remote Stack Based Buffer Overflow Vulnerability
104552;Redis CVE-2018-11219 Integer Overflow Vulnerability
104551;PHP 'ext/exif/exif.c' Denial of Service Vulnerability
104550;IBM InfoSphere Information Server CVE-2017-1350 Local Privilege Escalation Vulnerability
104549;IBM Spectrum Scale CVE-2017-1654 Local Information Disclosure Vulnerability
104548;Cisco AnyConnect Secure Mobility Client for Windows CVE-2018-0373 Denial of Service Vulnerability
104547;SSSD CVE-2018-10852 Local Information Disclosure Vulnerability
104546;Fortinet FortiAnalyzer and FortiManager CVE-2018-1355 Open Redirect Vulnerability
104545;Pivotal Operations Manager CVE-2018-11046 Security Vulnerability
104544;Linux Kernel 'kernel/trace/trace_events_filter.c' Local Denial of Service Vulnerability
104543;libjpeg-turbo CVE-2018-1152 Remote Denial of Service Vulnerability
104542;IBM AIX CVE-2018-1655 Local Information Disclosure Vulnerability
104541;GNU Binutils CVE-2018-12700 Denial of Service Vulnerability
104540;GNU Binutils CVE-2018-12699 Heap Based Buffer Overflow Vulnerability
104539;GNU libiberty CVE-2018-12698 Memory Corruption Vulnerability
104538;GNU libiberty CVE-2018-12697 Memory Corruption Vulnerability
