86391;Intel WiMAX supplicant agent information disclosure
86390;Intel WiMAX PDU buffer overflow
86389;Intel WiMAX trace module insecure permissions
86388;Intel WiMAX OSAL crypt module information disclosure
86387;JBoss Enterprise Application Platform EJB session hijacking
86386;JBoss Enterprise Application Platform connections session hijacking
86385;Cisco IOS XR ICMP Echo Request denial of service
86384;Gentoo Linux nullmailer package insecure permissions
86383;Python SSL module NULL bytes spoofing
86382;Dovecot POP3 Service denial of service
86381;PolarSSL certificate denial of service
86380;Lenovo ThinkPad DLL code execution
86379;PHP Sessions subsystem session hijacking
86378;Google Chrome WebVTTParser::createDocumentFragmentFromCueText denial of service
86377;Copy to WebDAV application  for iPad and iPhone Index File Dir Listing module command execution
86376;Copy to WebDAV application for iPad and iPhone Upload module file upload
86375;Copy to WebDAV application for iPad and iPhone Upload module file include
86374;eZ Publish Request.php URL spoofing
86373;eZ Publish object relations security bypass
86372;eZ Publish admin design cross-site scripting
86371;eZ Publish content treemenu module cross-site scripting
86370;eZ Publish error page denial of service
86369;eZ Publish user/login page cross-site scripting
86368;eZ Publish user/login page URL redirection
86367;eZ Publish BrowserView module cross-site scripting
86366;eZ Publish content/versionview module cross-site scripting
86365;Symfony Request.php spoofing
86364;Symfony collectionCascaded and collectionCascadedDeeply fields security bypass
86363;Kwok Information Server unspecified SQL injection
86362;OpenStack Keystone user token validation security bypass
86361;NTT DOCOMO overseas usage application for Android Wi-Fi access point information disclosure
86360;Schweitzer Engineering Laboratories devices denial of service
86359;Schweitzer Engineering Laboratories HTTP requests information disclosure
86358;Schweitzer Engineering Laboratories master devices denial of service
86357;Cisco Finesse HTTP query data information disclosure
86356;Cisco Finesse interface information disclosure
86355;Ruby on Rails secret_token.rb command execution
86354;HTCSyncManagerUpdate DLL code execution
86353;Soda PDF DLL code execution
86352;DRZES HMS viewinvoice.php SQL injection
86351;DRZES HMS login.php cross-site scripting
86350;VLC Media Player abc_MIDI_drum() buffer overflow
86349;VLC Media Player abc_set_parts() integer overflow
86348;Open Real Estate CMS multiple pages path disclosure
86347;Open Real Estate CMS id parameter SQL injection
86346;Open Real Estate CMS Add / Edit administrator account cross-site request forgery
86345;NetworkMiner extract files directory traversal
86344;NetworkMiner DLL path name code execution
86343;OpenStack Cinder XML entities denial of service
86342;OpenStack Compute (Nova) XML entities denial of service
86341;Chrony unspecified denial of service
86340;Chrony request length denial of service
86339;HMS Testimonials plugin for WordPress admin.php cross-site scripting
86338;HMS Testimonials plugin for WordPress admin.php cross-site request forgery
86337;Advanced Guestbook addentry.php file upload
86336;AlgoSec Firewall Analyzer Login.php cross-site scripting
86335;Squash YAML code execution
86334;redSHOP component for Joomla! index.php SQL injection
86333;Tribq CMS admin_details.php cross-site request forgery
86332;PCMan FTP server PASS command buffer overflow
86331;Pluck CMS admin.php cross-site scripting
86330;Siemens COMOS privilege escalation
86328;Organic Groups module for Drupal node ID security bypass
86327;Monster Menus module for Drupal title parameter cross-site scripting
86326;Monster Menus module for Drupal mm_webform security bypass
86325;Authenticated User Page Caching (Authcache) module for Drupal cached pages information disclosure
86324;phpFox multiple cross-site scripting
86323;phpFox multiple SQL injection
86322;Restlet Framework XML deserialization code execution
86321;Nagios plugins IPXPING_COMMAND insecure tmp files
86320;Nagios html/rss-newsfeed.php insecure tmp files
86319;phpVID search_results.php CRLF injection
86318;phpVID multiple cross-site scripting
86317;phpVID multiple SQL injection
86316;MLM Auction gallery.php SQL injection
86315;RESTful Web Services module for Drupal multiple security bypass
86314;Cacti unspecified command execution
86313;Cacti unspecified SQL injection
86312;MyBB member.php open redirect
86311;Atlassian JIRA name parameter cross-site scripting
86310;Drupal Persona cross site request forgery
86309;LibTIFF rgb2ycbcr tool TIFF image buffer overflow
86308;LibTIFF tiff2pdf tool TIFF user-after-free denial of service
86307;LibTIFF gif2tiff tool GIF raster image buffer overflow
86306;LibTIFF gif2tiff tool GIF raster image buffer overflow
86305;LibTIFF gif2tiff tool GIF extension block buffer overflow
86304;Linux Kernel ARM64 denial of service
86303;OpenStack Cinder LVM volume driver information disclosure
86302;OpenStack Swift tombstones denial of service
86301;pip PyPI repository code execution
86300;pyshop download operation code execution
86299;easy_install PyPI repository code execution
86298;OpenStack Compute (Nova) private flavors security bypass
86297;OpenStack Compute (Nova) policy updates denial of service
86296;Formhandler extension for TYPO3 unspecified code execution
86295;Formhandler extension for TYPO3 unspecified security bypass
86294;Formhandler extension for TYPO3 unspecified SQL injection
86293;Hikvision DS-2CD7153-E IP Camera hardcoded credentials security bypass
86292;Hikvision DS-2CD7153-E IP Camera RTSP Packet Handler buffer overflow
86291;Hikvision DS-2CD7153-E IP Camera administrator password privilege escalation
86290;Atlassian Confluence doconfigurerssfeed.action script cross-site scripting
86289;TrustPort WebFilter help.php directory traversal
86288;Front End User Registration extension for TYPO3 unspecified cross-site scripting
86287;BigTree CMS index.php cross-site scripting
86286;BigTree CMS create.php cross-site request forgery
86285;BigTree CMS index.php SQL injection
86284;Mozilla Firefox and SeaMonkey WAV file denial of service
86283;Mozilla Firefox and Thunderbird updater.exe privilege escalation
86282;Mozilla Firefox DLL privilege escalation
86281;Mozilla Firefox, Thunderbird and SeaMonkey Java applets information disclosure
86280;Mozilla Firefox, Thunderbird and SeaMonkey Web Workers security bypass
86279;Mozilla Firefox, Thunderbird and SeaMonkey URI security bypass
86278;Mozilla Firefox and SeaMonkey XBL scopes security bypass
86277;Mozilla Firefox,Thunderbird and SeaMonkey CRMF code execution
86276;Mozilla Firefox,Thunderbird and SeaMonkey URI cross-site scripting
86275;Mozilla Firefox and Thunderbird Mozilla Updater buffer overflow
86274;Mozilla Firefox and Thunderbird Maintenance Service buffer overflow
86273;Mozilla Firefox and SeaMonkey CRMF code execution
86272;Mozilla Firefox and SeaMonkey SetBody code execution
86271;Mozilla Firefox,Thunderbird and SeaMonkey CVE-2013-1702 code execution
86270;Mozilla Firefox,Thunderbird and SeaMonkey CVE-2013-1701 code execution
86269;Linux Kernel CLONE_NEWUSER denial of service
86268;PuTTY putty/sshdss.c information disclosure
86267;PuTTY modular inverses calculation buffer overflow
86266;PuTTY modmul() buffer underflow
86265;Cisco TelePresence password recovery default account
86264;National Instruments Lookout unspecified
86263;National Instruments LabWindows/CVI unspecified
